Year,Class,Scientific Name,Common Name,Global Rank,State Rank,Federal Status,State Status,SWAP Status,Counties of occurrence,
2017,Dicots,Arabis georgiana,Georgia rockcress,G1,S1,LT,,,"Counties of occurrence:  Bibb, Dallas, Elmore, Monroe, Russell, Sumter, Wilcox",
2017,Dicots,Arabis patens,spreading rockcress,G3,S1,,,,"Counties of occurrence:  Marengo, Pickens",
2017,Dicots,Aralia racemosa,American spikenard,G4G5,S1,,,,"Counties of occurrence:  Etowah, Jackson",
2017,Non-Vascular Plants,Archidium tenerrimum,large-spored moss,G5?,S1?,,,,,
2017,Freshwater Mussels,Arcidens confragosus,rock pocketbook,G4,S3,,PSM,,"Counties of occurrence:  Baldwin, Choctaw, Colbert, Dallas, Elmore, Greene, Hale, Lauderdale, Pickens, Sumter,
Tuscaloosa, Wilcox",
2017,Insects,Argia plana,springwater dancer,G5,S1,,,,Counties of occurrence:  Jefferson,
2017,Insects,Arianops ashei,a beetle7,GNR,S1,,,,Counties of occurrence:   Butler,
2017,Insects,Arianops barri,a beetle7,GNR,S1,,,,Counties of occurrence:   Jackson,
2017,Insects,Arianops cavernensis,a cave obligate beetle7,GNR,S1,,,,Counties of occurrence:   Marshall,
2017,Insects,Arianops clintoni,a beetle7,GNR,S1,,,,Counties of occurrence:   Monroe,
2017,Insects,Arianops extera,a beetle7,GNR,S1,,,,Counties of occurrence:   Jackson,
2017,Insects,Arianops folkertsi,a beetle7,GNR,S1,,,,Counties of occurrence:   Walker,
2017,Insects,Arianops kingi,a beetle7,GNR,S1,,,,Counties of occurrence:   St. Clair,
2017,Insects,Arianops steevesi,a cave obligate beetle7,GNR,S1,,,,Counties of occurrence:   Jackson,
2017,Monocots,Aristida mohrii,Mohr’s three-awn grass,G1,S1,,,,"Counties of occurrence:  Baldwin, Covington, Geneva, Mobile",
2017,Monocots,Aristida simpliciflora,southern three-awned grass,G3G4,S1,,,,"Counties of occurrence:  Baldwin, Covington, Dale, Escambia",
2017,Monocots,Aristida spiciformis,pine barren three-awned grass,G4,S1,,,,Counties of occurrence:  Baldwin,
2017,Dicots,Armoracia lacustris,lake cress,G4?,S1,,,,"Counties of occurrence:  Colbert, Greene, Lawrence, Limestone",
2017,Dicots,Arnoglossum diversifolium,variable-leaved Indian-plantain,G2,S1,UR,,,Counties of occurrence:  Houston,
2017,Dicots,Arnoglossum sulcatum,Indian-plantain,G3,S2S3,,,,"Counties of occurrence:  Baldwin, Covington, Escambia, Geneva",
2017,"Diplurans, Springtails and Proturans",Arrhopalites pygmaeus,a springtail,GNR,S2,,,,"Counties of occurrence:  Blount, Jackson, Madison, Marshall",
2017,"Diplurans, Springtails and Proturans",Arrhopalites whitesidei,a springtail,GNR,S1,,,,Counties of occurrence:  Talladega,
2017,Dicots,Asclepias cinerea,Carolina milkweed,G4?,S1,,,,"Counties of occurrence:  Covington, Geneva",
2017,Dicots,Asclepias exaltata,poke milkweed,G5,S1,,,,"Counties of occurrence:  Etowah, Jackson, Winston",
2017,Dicots,Asclepias rubra,red milkweed,G4G5,S1,,,,"Counties of occurrence:  Autauga. Covington, Escambia",
2017,Dicots,Asclepias tomentosa,velvet milkweed,G4,SH,,,,"Counties of occurrence:  Covington, Geneva",
2017,Dicots,Asclepias viridula,southern milkweed,G2,S1,,,,Counties of occurrence:  Houston,
2017,Birds,Asio flammeus,Short-Eared Owl,G5,S2N,,SP,P2,"Counties of occurrence:  Autauga, Baldwin, Bibb, Dallas, Etowah, Henry, Jefferson, Lauderdale, Limestone, Marshall, Mobile, Montgomery
ORDER PICIFORMES  -  Puffbirds, Jacamars, Toucans, Woodpeckers, and Allies Family Picidae  -  Woodpeckers and Allies",
2017,Ferns and Relatives,Asplenium abscissum,cutleaf spleenwort,G3G4,S1,,,,Counties of occurrence:  Jackson,
2017,Ferns and Relatives,Asplenium bradleyi,Bradley's spleenwort,G4,S2,,,,"Counties of occurrence:  Etowah, Jackson, Talladega",
2017,Ferns and Relatives,Asplenium monanthes,single-sorus spleenwort,G4,S1,,,,,
2017,Ferns and Relatives,Asplenium ruta-muraria,wall rue spleenwort,G5,S1,,,,"Counties of occurrence:  Bibb, Etowah, Jackson",
2017,Ferns and Relatives,Asplenium scolopendrium var. americanum,American Hart’s-tongue fern,G4T3,S1,LT,,,"Counties of occurrence:  Jackson, Morgan",
2017,Ferns and Relatives,Asplenium trichomanes,maidenhair spleenwort,G5,S2S3,,,,"Counties of occurrence:  Etowah, Jackson, Talladega, Tuscaloosa",
2017,Ferns and Relatives,Asplenium tutwilerae,Scott's spleenwort7,G1,S1,,,,"Counties of occurrence:  Hale
Family Dryopteridaceae   -  Wood Fern Family",
2017,Dicots,Astragalus canadensis,Canadian milkvetch,G5,S1,,,,"Counties of occurrence:  Dallas, Geneva, Madison, Sumter",
2017,Dicots,Astragalus obcordatus,Florida milkvetch,G3G4,S1,,,,Counties of occurrence:  Dallas,
2017,Dicots,Astragalus tennesseensis,Tennessee milkvetch,G3,S1S2,,,,"Counties of occurrence:  Lawrence, Morgan",
2017,Dicots,Astragalus villosus,hoary milkvetch,G4,S2,,,,"Counties of occurrence: Baldwin4, Butler, Coffee, Conecuh, Dale, Escambia4, Mobile4, Pike, Russell4",
2017,Ferns and Relatives,Astrolepis x integerrima,hybrid cloak fern,HYB,S1,,,,"Counties of occurrence:  Bibb
Family Thelypteridaceae  -  Marsh Fern Family",
2017,Freshwater Snails,Athearnia anthonyi,Anthony riversnail,G1,S1,LE-XN47,SP,P1,"Counties of occurrence:  Colbert, Jackson, Lauderdale, Limestone",
2017,Birds,Athene cunicularia,Burrowing Owl,G4,S2N,,SP,,Counties of occurrence:  Mobile,
2017,Insects,Atheta alabama,a beetle,GNR,S1,,,,Counties of occurrence:   Morgan,
2017,Insects,Atheta lucifuga,light shunning rove beetle,G4,S2,,,,"Counties of occurrence:   Blount, Jackson, Madison, Marshall",
2017,Fishes,Atractosteus spatula,alligator gar,G3G4,S2,,CNGF,,"Counties of occurrence:  Baldwin, Clarke, Escambia, Mobile, Monroe",
2017,Insects,Atrytone arogos arogos,arogos skipper,G3T1T2,SH,,,,,
2017,Dicots,Aureolaria patula,spreading false-foxglove,G3,S1,,,,Counties of occurrence:  Cherokee,
2017,Insects,Autochton cellus,golden-banded skipper,G4,S2,,,,,
2017,Amphipods,Bactrurus wilsoni,an amphipod,G1G2,S1,,,,,
2017,Insects,Baetisca becki,a mayfly,G2G3,S1,,,,,
2017,Dicots,Balduina atropurpurea,purple balduina,G2,SH,UR,,,Counties of occurrence:  Geneva4,
2017,Dicots,Baptisia australis var. aberrans,blue wild indigo,G5T2,S1,,,,Counties of occurrence:  Bibb,
2017,Dicots,Baptisia megacarpa,Apalachicola wild indigo,G2,S2,UR,,,"Counties of occurrence:  Autauga, Bibb, Bullock, Crenshaw, Elmore, Henry, Lee, Lowndes, Macon, Montgomery, Pike, Tallapoosa",
2017,Crayfish and Shrimp,Barbicambarus simmonsi,Tennessee bottlebrush crayfish,G1G2,SNR,,,P1,,
2017,Insects,Batriasymmodes spelaeus,a cave obligate beetle,G3G4,S3,,,,"Counties of occurrence:  Blount, DeKalb, Jackson, Lauderdale, Lawrence, Marshall, Morgan, St. Clair,, Walker,
Winston",
2017,Insects,Batriasymmodes troglodytes,a beetle7,G1G2,S1,,,,Counties of occurrence:   Butler,
2017,Insects,Batrisodes cavernosus,a cave obligate beetle7,G1,S1,,,,"Counties of occurrence:  Butler, Clarke",
2017,Insects,Batrisodes jocuvestus,a cave obligate beetle7,G1,S1,,,,Counties of occurrence:  Madison,
2017,Insects,Batrisodes jonesi,a cave obligate beetle7,G2G3,S2S3,,,,Counties of occurrence:  Colbert,
2017,Insects,Batrisodes lineaticollis,a beetle,GNR,S1,,,,"Counties of occurrence:  Calhoun, Conecuh",
2017,Insects,Batrisodes profundus,a cave obligate beetle7,G1G2,S1S2,,,,Counties of occurrence:  Conecuh,
2017,Insects,Batrisodes specus,a cave obligate beetle,G3G4,S2,,,,"Counties of occurrence:  Colbert, Jackson, Madison, Marshall",
2017,Insects,Batrisodes subterraneus,a cave obligate beetle,G1,S1,,,,Counties of occurrence: Marshall ,
2017,Insects,Batrisodes tumoris,a beetle7,G1,S1,,,,Counties of occurrence:  Colbert,
2017,Insects,Batrisodes valentinei,a cave obligate beetle,G2G4,S2,,,,"Counties of occurrence:  Jackson, Madison, Morgan",
2017,Insects,Beloneuria jamesae,Cheaha beloneurian stonefly7,G1G2,S1S2,,,,"Counties of occurrence:  Calhoun, Clay, Cleburne, Talladega",
2017,Dicots,Berberis canadensis,American barberry,G3,SH,,,,"Counties of occurrence:  Jefferson4, Lee4",
2017,Dicots,Bidens cernua,nodding beggar-ticks,G5,S1,,,,"Counties of occurrence: Blount, Conecuh, Etowah, Shelby",
2017,Dicots,Bigelowia nuttallii,Nuttall's rayless goldenrod,G3G4,S3,,,,"Counties of occurrence:  Blount, Cherokee, DeKalb, Etowah, Jackson, Jefferson, Marshall",
2017,Arachnids,Bishopella jonesi,a cave obligate harvestman7,G1,S1,,,,Counties of occurrence:  Jackson,
2017,Dicots,Blephilia subnuda,smooth blephilia,G1G2,S1S2,,,,"Counties of occurrence:  Jackson, Madison",
2017,Monocots,Bolboschoenus fluviatilis,river bulrush,G5,S1,,,,Counties of occurrence:  Morgan,
2017,Birds,Bonasa umbellus,Ruffed Grouse,G5,S1,,GBNOS,,Counties of occurrence:  Jackson,
2017,Mammals,Bos bison,American bison,G4,SX,,,EX,,
2017,Birds,Botaurus lentiginosus,American Bittern,G4,S3N,SP,,,"Counties of occurrence: Baldwin,  Mobile",
2017,Ferns and Relatives,Botrychium jenmanii,Alabama grapefern,G3G4,S1,,,,"Counties of occurrence:  Baldwin, Escambia, Lee, Mobile",
2017,Dicots,Boykinia aconitifolia,brook saxifrage,G4,S1,,,,"Counties of occurrence:  Franklin, Marion",
2017,Non-Vascular Plants,Brachymenium macrocarpon,tree moss,GNRQ,S1?,,,,,
2017,Dicots,Brickellia cordifolia,Flyr's brickell-bush,G2G3,S2,,,,"Counties of occurrence:  Bullock, Coffee, Conecuh, Covington, Crenshaw, Dale, Geneva, Henry, Houston, Lee, Macon, Pike, Russell",
2017,Non-Vascular Plants,Bryoxiphium norvegicum,sword moss,G5?,S1,,,,,
2017,Monocots,Bulbostylis warei,Ware's hairsedge,G3G4,SH,,,,Counties of occurrence:  Baldwin,
2017,Crayfish and Shrimp,Caecidotea alabamensis,a cave obligate isopod,G3G4,S1S2,,,,,
2017,Crayfish and Shrimp,Caecidotea bicrenata bicrenata,a cave obligate isopod,G5T3T4,SNR,,,,,
2017,Crayfish and Shrimp,Caecidotea richardsonae,Tennessee valley cave isopod,G5,SNR,,,,,
2017,Monocots,Calamovilfa arcuata,Cumberland sandgrass,G2G3,S1,UR,,,Counties of occurrence:  Blount,
2017,Dicots,Callirhoe alcaeoides,clustered poppy-mallow,G5?,S2,,,,"Counties of occurrence:  Bibb, Morgan",
2017,Dicots,Callirhoe triangulata,clustered poppy-mallow,G3?,S1,,,,"Counties of occurrence:  Autauga4, Elmore, Sumter",
2017,Insects,Callophrys hesseli,Hessel's hairstreak,G3G4,SNR,,,,,
2017,Insects,Callophrys irus,frosted elfin,G3,SU,,,,,
2017,Monocots,Calopogon barbatus,bearded grass-pink,G4?,S1,,,,"Counties of occurrence:  Escambia, Mobile",
2017,Monocots,Calopogon multiflorus,many-flowered grass-pink,G2G3,S1,,,,"Counties of occurrence:  Baldwin, Mobile",
2017,Monocots,Calopogon oklahomensis,Oklahoma grass-pink,G3,S1,,,,Counties of occurrence:  Baldwin,
2017,Crayfish and Shrimp,Cambarellus diminutus,least crayfish,G3,S2,,,P1,"Counties of occurrence:  Mobile, Washington",
2017,Crayfish and Shrimp,Cambarellus lesliei,angular dwarf crawfish,G3,S2,,,P1,"Counties of occurrence:  Baldwin4, Mobile4, Washington",
2017,Crayfish and Shrimp,Cambarellus shufeldtii,Cajun dwarf crayfish,G5,S2,,,P2,Counties of occurrence:  Mobile,
2017,Worms,Cambarincola sheltensis,a cave obligate worm,G1G2,S1S2,,,,,
2017,Crayfish and Shrimp,Cambarus acanthura,thornytail crayfish,G4G5,S3,,,,"Counties of occurrence:  Baldwin4, Blount4, Bullock4, Calhoun, Chilton, Choctaw4, Clarke4, Colbert4, Conecuh4, Crenshaw4, DeKalb, Escambia4, Etowah4, Hale4, Jefferson4, Lauderdale4, Limestone, Marengo4, Perry4, Pike4, Russell4, Shelby, St. Clair4, Talladega4, Tuscaloosa4, Washington4",
2017,Crayfish and Shrimp,Cambarus bartonii,Appalachian brook crayfish,G5,S2,,,,"Counties of occurrence4:  Chambers, DeKalb, Lee",
2017,Crayfish and Shrimp,Cambarus cracens,slenderclaw crayfish7,G1,S1,UR,,P1,"Counties of occurrence:  DeKalb4, Marshall",
2017,Crayfish and Shrimp,Cambarus distans,boxclaw crayfish,G5,S1,,,P1,"Counties of occurrence4:  DeKalb, Jackson",
2017,Crayfish and Shrimp,Cambarus englishi,Tallapoosa crayfish,G3,S2,,,P2,"Counties of occurrence:  Clay, Cleburne, Randolph, Tallapoosa",
2017,Crayfish and Shrimp,Cambarus graysoni,twospot crayfish,G5,S3,,,,"Counties of occurrence:  Lauderdale4, Limestone4, Madison4",
2017,Crayfish and Shrimp,Cambarus halli,slackwater crayfish,G3G4,S3,,,P2,"Counties of occurrence:  Chambers, Clay, Cleburne, Lee, Randolph, Tallapoosa",
2017,Crayfish and Shrimp,Cambarus hamulatus,Prickly Cave crayfish,G3,S2,,,P2,"Counties of occurrence:  Blount4, Jackson4, Madison, Marshall",
2017,Crayfish and Shrimp,Cambarus howardi,Chattahoochee crayfish,G3Q,S2,,,P2,"Counties of occurrence:  Chambers , Lee",
2017,Crayfish and Shrimp,Cambarus jonesi,Alabama cave crayfish7,G2,S2,UR,,P2,"Counties of occurrence:  Colbert, Lauderdale, Limestone, Madison, Marshall, Morgan",
2017,Crayfish and Shrimp,Cambarus laconensis,Lacon exit cave crayfish,G1,S1,,,P1,Counties of occurrence:  Morgan,
2017,Crayfish and Shrimp,Cambarus longirostris,longnose crayfish,G5Q,S2,,,P2,"Counties of occurrence:  Calhoun, Cherokee4, Cleburne4, DeKalb4, Lauderdale4, Madison4, St. Clair4",
2017,Crayfish and Shrimp,Cambarus ludovicianus,painted devil crayfish,G5,S2,,,,"Counties of occurrence:  Bibb, Dallas, Jefferson, Perry, Shelby, St. Clair",
2017,Crayfish and Shrimp,Cambarus manningi,greensaddle crayfish,G4,S2,,,P2,"Counties of occurrence:  Calhoun, Cherokee, Coosa, Etowah, St. Clair, Talladega",
2017,Crayfish and Shrimp,Cambarus miltus,rusty grave digger,G3,S2,,,,"Counties of occurrence:  Baldwin, Covington, Escambia",
2017,Crayfish and Shrimp,Cambarus parvoculus,mountain midget crayfish,G5,S1,,,P2,Counties of occurrence:  Jackson4,
2017,Crayfish and Shrimp,Cambarus pecki,phantom cave crayfish7,G1G2,S1S2,,,P1,"Counties of occurrence:  Colbert, Lauderdale, Morgan",
2017,Crayfish and Shrimp,Cambarus polychromatus,paintedhand mudbug,G5,S1,,,,Counties of occurrence:  Pike,
2017,Crayfish and Shrimp,Cambarus pyronotus,fireback crayfish,G2,S1,,,P1,Counties of occurrence:,
2017,Crayfish and Shrimp,Cambarus rusticiformes,depression crayfish,G5,S1,,,P2,Counties of occurrence:  Jackson,
2017,Crayfish and Shrimp,Cambarus scotti,Chattooga River crayfish,G3,S3,,,,"Counties of occurrence:  Calhoun, Cherokee, Cleburne, Shelby, St. Clair4, Talladega",
2017,Crayfish and Shrimp,Cambarus speleocoopi,sweet home Alabama crayfish,G1,S1,,,P2,Counties of occurrence:  Marshall,
2017,Crayfish and Shrimp,Cambarus unestami,blackbarred crayfish,G2,S1,,,,"Counties of occurrence:  DeKalb, Jackson",
2017,Crayfish and Shrimp,Cambarus veitchorum,White Spring Cave crayfish7,G1,S1,,,P1,Counties of occurrence:  Limestone,
2017,Freshwater Snails,Campeloma decampi,slender campeloma7,G1,S1,LE,SP,P1,"Counties of occurrence:  Limestone, Madison4",
